Complaint number,Complaint filed against,Complaint filed by,Reason complaint filed,Confirmed complaint,How resolved,Received date,Closed date,Complaint type,Coverage type,Coverage level,Others involved,Respondent ID,Respondent Role,Respondent type,Complainant type,Keywords
359830,State Farm Lloyds,Insured,Refund Of Premium,Yes,Corrective Action Taken; Premium Refunded; Information Furnished,4/6/2023,5/29/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
359837,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Monies Received; Claim Settled,4/6/2023,6/15/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
359858,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Information Furnished; Additional Payment Expected,4/6/2023,6/15/2023,Property and Casualty,Automobile,Individual Private Pass,Correspondent Person; Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
359861,State Farm Lloyds,Other,Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Question of Fact,4/6/2023,5/29/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF
359884,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Payment Expected; Question of Fact,4/6/2023,7/18/2023,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE; DEPRECIATION
359898,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Claim Settled; Contract Language/Legal Issue; Information Furnished,4/7/2023,6/15/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; ROOF
359902,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Question of Fact; Additional Payment Expected,4/7/2023,6/16/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,LOSS OF USE; PLUMBING
359904,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Company Position Upheld,4/7/2023,6/2/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,SENIOR CITIZEN
359929,State Farm Mutual Automobile Insurance Company,Third Party,Liability Dispute,No,Question of Fact; Additional Payment Expected,4/7/2023,4/10/2023,"Life, Accident and Health",Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; DIMINISHED VALUE
359931,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Contract Language/Legal Issue,4/7/2023,6/6/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,REPAIR CHOICE
359935,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Policyholder Service); Unsatisfactory Settle/Offer,No,Information Furnished; Contract Language/Legal Issue; Question of Fact,4/7/2023,6/6/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured; Portal - Other,1510,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE
359956,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Contract Language/Legal Issue; Company Position Upheld,4/9/2023,6/18/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured; Portal - Other,1510,Ins Co - Licensed/Active,Organization,INDV,
359980,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),Yes,Corrective Action Taken; Claim Settled,4/10/2023,5/17/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360001,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Liability Dispute,No,Additional Monies Received; Question of Fact,4/10/2023,4/11/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,DIMINISHED VALUE
360014,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Denial Of Claim,No,Information Furnished,4/10/2023,4/11/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,UNCOOPERATIVE INSURED
360018,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling),No,Question of Fact,4/10/2023,4/11/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,LOSS OF USE; TOTAL LOSS
360029,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Payment Expected; Contract Language/Legal Issue,4/10/2023,6/28/2023,Property and Casualty,Homeowners,Farmowner / Ranchowner,Associated Subject Person; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL; DAMAGE DISPUTE; HAIL; ROOF
360036,State Farm Mutual Automobile Insurance Company,Insured,Delays (Policyholder Service); Premium and Rating; Refund Of Premium,Yes,Corrective Action Taken; Information Furnished,4/10/2023,6/2/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360039,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim; Liability Dispute,No,Question of Fact; Information Furnished; Claim Settled,4/10/2023,6/2/2023,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,LOSS OF USE; UNCOOPERATIVE INSURED
360066,State Farm Lloyds,Third Party,Denial Of Claim,No,Information Furnished; Company Position Upheld; Question of Fact,4/3/2023,6/3/2023,Property and Casualty,Homeowners,Homeowners,Associated Subject Company,3105,Ins Co - Licensed/Active,Organization,INDV,
360078,State Farm Lloyds,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Information Furnished,3/30/2023,6/26/2023,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; HAIL; ROOF
360105,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating; Refund Of Premium,No,Contract Language/Legal Issue; Question of Fact,3/31/2023,7/2/2023,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,
360127,State Farm Mutual Automobile Insurance Company,Third Party,Liability Dispute; Unsatisfactory Settle/Offer,No,Additional Payment Expected; Question of Fact,4/11/2023,4/12/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COMPARATIVE NEGLIGENCE
360148,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Claim Settled; Contract Language/Legal Issue; Information Furnished,4/11/2023,6/19/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE; WATER DAMAGE
360180,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Contract Language/Legal Issue; Information Furnished,4/12/2023,6/23/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF
360194,State Farm County Mutual Insurance Company of Texas,Third Party,Cust Service Claim Handling; Delays (Claims Handling); Liability Dispute,No,Question of Fact; Claim Settled,4/12/2023,4/13/2023,"Life, Accident and Health",Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1506,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; LOSS OF USE
360197,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Monies Received; Claim Settled; Information Furnished,4/12/2023,6/2/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ACV; ADJUSTER'S HANDLING; SUPPLY SHORTAGE
360221,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Denial Of Claim; Liability Dispute,No,Question of Fact; Information Furnished; Contract Language/Legal Issue,4/12/2023,6/5/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COMPARATIVE NEGLIGENCE
360320,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Information Furnished; Additional Payment Expected,4/13/2023,4/13/2023,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
360343,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Payment Expected,4/13/2023,5/17/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360345,State Farm Lloyds,Insured,Cust Service Claim Handling; Denial Of Claim; Refund Of Premium,No,Question of Fact; Contract Language/Legal Issue,4/13/2023,6/21/2023,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
360368,State Farm Fire and Casualty Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Additional Monies Received; Information Furnished,4/13/2023,6/26/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1507,U.S. Domiciled Insurer,Organization,INDV,ADJUSTER'S HANDLING; FOUNDATION ; LOSS OF USE; PLUMBING; WATER DAMAGE
360396,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Question of Fact; Company Position Upheld; Information Furnished,4/13/2023,6/4/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; ROOF
360400,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Claim Settled; Question of Fact,4/14/2023,5/17/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360437,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Company Position Upheld; Information Furnished,4/14/2023,6/16/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360438,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Question of Fact,4/14/2023,4/17/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
360451,State Farm Mutual Automobile Insurance Company,Insured,Refund Of Premium,No,Premium Refunded; Information Furnished,4/14/2023,5/30/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360471,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Contract Language/Legal Issue,4/14/2023,6/7/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360496,State Farm Mutual Automobile Insurance Company,Insured,Cancellation; Denial Of Claim,No,Information Furnished; Policy Not In Force,4/17/2023,6/28/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,RESCISSION
360549,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Additional Payment Expected; Question of Fact,4/17/2023,4/17/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
360557,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,Yes,Contract Language/Legal Issue; Information Furnished; Corrective Action Taken,4/17/2023,6/29/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF
360564,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Company Position Upheld; Contract Language/Legal Issue; Claim Settled,4/17/2023,6/29/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,LOSS OF USE; OVERHEAD AND PROFIT; PLUMBING; WATER DAMAGE
360596,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Liability Dispute; Unsatisfactory Settle/Offer,No,Question of Fact; Additional Monies Received,4/17/2023,4/18/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,DIMINISHED VALUE
360605,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Question of Fact; Information Furnished,4/17/2023,5/8/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COMPARATIVE NEGLIGENCE
360626,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Company Position Upheld; Contract Language/Legal Issue,4/18/2023,5/31/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360659,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Information Furnished; Claim Settled,4/18/2023,5/18/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360666,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Additional Monies Received; Question of Fact,4/18/2023,7/25/2023,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEPRECIATION; MOLD; ROOF; SENIOR CITIZEN; WATER DAMAGE
360681,State Farm Mutual Automobile Insurance Company,Other,Delays (Claims Handling),Yes,Corrective Action Taken; Information Furnished; Claim Settled,4/17/2023,6/12/2023,"Life, Accident and Health",Accident and Health,Individual A & H,Associated Subject Company; Deceased Person,1510,Ins Co - Licensed/Active,Organization,INDV,
360692,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Question of Fact; Information Furnished,4/18/2023,5/18/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360696,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Additional Monies Received; Question of Fact,4/18/2023,4/19/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,LOSS OF USE
360701,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Information Furnished; Question of Fact,4/18/2023,5/17/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
360715,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling),Yes,Additional Monies Received; Corrective Action Taken; Claim Settled,4/18/2023,7/27/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
360731,State Farm Mutual Automobile Insurance Company,Insured,Unsatisfactory Settle/Offer,No,Information Furnished; Contract Language/Legal Issue; Claim Settled,4/18/2023,7/5/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,REPAIR CHOICE; TOTAL LOSS
360732,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Contract Language/Legal Issue; Information Furnished,4/18/2023,7/7/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360755,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Company Position Upheld; Information Furnished,4/19/2023,5/31/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360757,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,Yes,Corrective Action Taken; Contract Language/Legal Issue; Claim Settled,4/19/2023,7/3/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF
360767,State Farm Fire and Casualty Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Information Furnished,4/19/2023,7/5/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,1507,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; MOLD; PLUMBING; WATER DAMAGE
360820,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Claim Settled,4/19/2023,6/5/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,SUPPLY SHORTAGE; TOTAL LOSS
360849,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Denial Of Claim,No,Contract Language/Legal Issue; Company Position Upheld,4/19/2023,7/6/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company,1510,Ins Co - Licensed/Active,Organization,INDV,REPAIR CHOICE
360850,State Farm Mutual Automobile Insurance Company,Insured,Denial Of Claim,No,Company Position Upheld; Information Furnished; Contract Language/Legal Issue,4/19/2023,7/7/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360878,State Farm Mutual Automobile Insurance Company,Other,Cust Service Claim Handling; Delays (Claims Handling); Liability Dispute; Premium and Rating,No,Question of Fact; Additional Payment Expected; Information Furnished,4/20/2023,5/16/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COMPARATIVE NEGLIGENCE
360895,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Liability Dispute; Unsatisfactory Settle/Offer,No,Additional Payment Expected; Information Furnished,4/20/2023,4/20/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; LOSS OF USE; TOTAL LOSS
360898,State Farm Mutual Automobile Insurance Company,Insurance Company,Delays (Policyholder Service),No,Information Furnished,4/20/2023,6/7/2023,Property and Casualty,Automobile,Individual Private Pass,Correspondent Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,
360910,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Question of Fact; Additional Payment Expected; Contract Language/Legal Issue,4/20/2023,7/5/2023,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; WATER DAMAGE
360912,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Additional Payment Expected; Question of Fact,4/20/2023,4/21/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ACV; DAMAGE DISPUTE; TOTAL LOSS
360933,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling),No,Question of Fact; Additional Payment Expected; Information Furnished,4/20/2023,4/21/2023,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Agency; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
360938,State Farm Mutual Automobile Insurance Company,Insured,Delays (Policyholder Service); Identification Card Issue; Refund Of Premium,Yes,Cancellation Withdrawn; Corrective Action Taken; Information Furnished,4/20/2023,6/26/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
360944,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Information Furnished; Question of Fact; Contract Language/Legal Issue,4/20/2023,6/26/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; ROOF; WATER DAMAGE
360954,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Liability Dispute,No,Additional Payment Expected; Question of Fact,4/21/2023,4/24/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Portal - Agency; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE
360987,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished,4/21/2023,4/24/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
361052,State Farm Lloyds,Insured,Premium and Rating,No,Complaint Withdrawn,4/23/2023,4/26/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,
361056,State Farm Lloyds,Insured,Denial Of Claim,No,Company Position Upheld; Question of Fact; Information Furnished,4/24/2023,7/16/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ROOF
361062,State Farm Lloyds,Other,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Claim Settled; Contract Language/Legal Issue,4/24/2023,7/20/2023,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL; HAIL
361063,State Farm Lloyds,Insured,Denial Of Claim,No,Question of Fact; Information Furnished; Company Position Upheld,4/7/2023,6/26/2023,Property and Casualty,Homeowners,Homeowners,Correspondent Person,3105,Ins Co - Licensed/Active,Organization,INDV,2021 February Ice Storm; DEDUCTIBLE; ROOF
361089,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling,Yes,Question of Fact; Information Furnished,4/24/2023,6/30/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
361096,State Farm Lloyds,Other,Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Question of Fact,4/24/2023,6/27/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; HAIL; ROOF
361104,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Contract Language/Legal Issue,4/24/2023,7/14/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,SENIOR CITIZEN
361131,State Farm Mutual Automobile Insurance Company,Insured,Delays (Policyholder Service),No,Question of Fact; Information Furnished,4/24/2023,5/11/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Associated Subject Person; Portal - Agency; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
361140,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Information Furnished,4/24/2023,5/24/2023,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Insured; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
361157,State Farm Mutual Automobile Insurance Company,Third Party,Liability Dispute,No,Question of Fact; Additional Payment Expected,4/24/2023,4/27/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,U.S. Domiciled Insurer,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; DIMINISHED VALUE; LOSS OF USE
361226,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Contract Language/Legal Issue; Claim Settled,4/25/2023,6/14/2023,Property and Casualty,Automobile,Individual Private Pass,Portal - Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; REPAIR CHOICE; TOTAL LOSS
361271,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Information Furnished; Company Position Upheld; Question of Fact,4/25/2023,6/9/2023,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; HAIL; ROOF
